#ip,ioc
152.89.198.175,Possible Cobaltstrike C2 IP
154.204.56.105,Possible Cobaltstrike C2 IP
154.211.15.205,Possible Cobaltstrike C2 IP
154.213.17.132,Possible Cobaltstrike C2 IP
154.213.17.138,Possible Cobaltstrike C2 IP
154.213.17.156,Possible Cobaltstrike C2 IP
154.213.17.174,Possible Cobaltstrike C2 IP
154.213.17.187,Possible Cobaltstrike C2 IP
154.31.157.63,Possible Metasploit C2 IP
154.8.146.128,Possible Cobaltstrike C2 IP
154.9.228.107,Possible Cobaltstrike C2 IP
154.92.16.150,Possible Cobaltstrike C2 IP
155.248.175.106,Possible Metasploit C2 IP
155.94.170.73,Possible Cobaltstrike C2 IP
156.245.19.127,Possible Cobaltstrike C2 IP
156.247.9.31,Possible Cobaltstrike C2 IP
159.203.60.8,Possible Cobaltstrike C2 IP
159.223.29.112,Possible Cobaltstrike C2 IP
159.223.72.123,Possible Cobaltstrike C2 IP
159.65.60.36,Possible Powershell Empire C2 IP
159.75.104.157,Possible Cobaltstrike C2 IP
159.89.209.22,Possible Cobaltstrike C2 IP
162.14.209.70,Possible Cobaltstrike C2 IP
162.14.81.81,Possible Cobaltstrike C2 IP
162.243.245.35,Possible Metasploit C2 IP
163.197.211.60,Possible Cobaltstrike C2 IP
163.197.211.75,Possible Cobaltstrike C2 IP
163.5.169.2,Possible Cobaltstrike C2 IP
163.5.64.65,Possible Cobaltstrike C2 IP
165.154.113.120,Possible Cobaltstrike C2 IP
165.232.114.60,Possible Cobaltstrike C2 IP
167.172.147.163,Possible Cobaltstrike C2 IP
167.172.2.185,Possible Powershell Empire C2 IP
167.179.74.154,Possible Cobaltstrike C2 IP
167.179.84.218,Possible Cobaltstrike C2 IP
167.86.127.180,Possible Cobaltstrike C2 IP
170.64.210.127,Possible Cobaltstrike C2 IP
172.105.192.139,Possible Cobaltstrike C2 IP
172.174.64.174,Possible Cobaltstrike C2 IP
172.247.35.240,Possible Cobaltstrike C2 IP
173.249.26.59,Possible PoshC2 IP
175.178.14.59,Possible Cobaltstrike C2 IP
175.178.174.131,Possible Cobaltstrike C2 IP
175.178.178.178,Possible Cobaltstrike C2 IP
175.178.242.75,Possible Cobaltstrike C2 IP
175.178.3.16,Possible Cobaltstrike C2 IP
175.24.163.235,Possible Cobaltstrike C2 IP
175.24.235.158,Possible Cobaltstrike C2 IP
178.128.123.154,Possible Cobaltstrike C2 IP
179.60.150.57,Possible Cobaltstrike C2 IP
18.138.248.201,Possible Metasploit C2 IP
18.167.169.187,Possible Cobaltstrike C2 IP
18.181.228.196,Possible Cobaltstrike C2 IP
18.182.225.116,Possible Cobaltstrike C2 IP
18.184.17.94,Possible Cobaltstrike C2 IP
18.219.103.66,Possible Cobaltstrike C2 IP
18.226.79.33,Possible Cobaltstrike C2 IP
180.76.99.119,Possible Cobaltstrike C2 IP
182.242.63.224,Possible Cobaltstrike C2 IP
182.61.25.107,Possible Cobaltstrike C2 IP
